reviews,sentiment,sentiment_label
"terrible overall , medium service flight delayed . help reschedule connecting flight . customer support terrible request compensation still pending one year .",-0.6666666666666666,negative
"london heathrow male new business class . ba continues get mojo back starting classy lounge serving innovative , interesting , quality pre-flight food ( beetroot scotch egg ? ) . excellent wine ( whispering angel ) . presentation on-board food always bit hit miss ba , occasion tasty ok. friendly efficient board crew . smile , treat respectfully , equal . time flight early arrival . awarding 9 bussed a-c gate , otherwise really enjoyable experience .",0.2865259740259741,positive
"booked ba loganair ’ representative manchester airport . loganair cancelled flight someone ba marked flight delayed 52 minute . ’ spent 70 day chasing ba ’ complaint department best totally ineffective . ’ put people dealing claim ( apparently ’ facility ! ) , ’ phone loganair , ’ look manchester airport historic flight website confirm cancellation , ’ put supervisor fact little apologise little .",0.04305555555555555,positive
"british airway lost bag lhr found . sent cologne sat two day told , one give . spent 10 day europe without bag , bought clothes . ba refused reimburse . closed case 10 day returned state bag showed front door . wont let talk management , say email mail n't call customer service . say escalate never know . n't update claim form .",-0.06666666666666667,negative
"check process reward/loyalty program mess . never able get point , even trying partner airline . unfortunately work travel sometimes . time , flight delayed .",-0.30833333333333335,negative
"flew november 2023 , took long seek satisfactory response ba , ultimately never received . ba refused re-book son cost day due lack underground service / alternate service . ba forced u buy new ticket never admitted subjected u disparate treatment . flying recommending ba .",-0.05643939393939395,negative
"left london johannesburg 21:15 22 december 2024. issue flight pillow gave u dirty 7 year old dropped juice asked cabin crew member walking past serviette told go bathroom get clean . issue ’ pleasant certainly major problem . booked ba0057 21:15 31 december 2024 return johannesburg . flight delayed 1 january 2025 12:00pm . connecting flight durban live johannesburg . landing johannesburg 3 child 1 option . ba changed flight 2nd january 2025 18:25. requested sooner date could get home sooner . given 1 january 2025 21:15. accepted original time opted would convenient connection johannesburg durban . unfortunately flight delayed till 2nd january 17:00. extremely upset absolutely exhausted 3 child absolutely exhausted . also suffer eczema hay fever cream medication . caused eczema flare badly , even lip cracked burning . allergy severe eye sticking together ’ stop sneezing . daughter also eczema flare . staff sympathy empathy mother traveling alone child . told know ’ inconvenience lady even snapped trying best . child 4 , 7 11 booked separate seat . even legal let alone ethical ? refusing help saying ’ anything . approached 3 people , third person finally put u together . could clearly help ? ? ? flight johannesburg durban originally booked south african airway paid lot ticket south african airway low cost airline . given cheap low cost airline , cemair , never even heard , replace saa flight . suffer flight anxiety never book low cost airline tiny flight . anxiety went roof flight ! besides , also left huge credit card bill used pound 1st ! know ba obliged compensate inconvenience eu law besides compensation ba staff really need show empathy passenger , like , two hour long flight delay two day row alone 3 child . expect full compensation u far worst experience traveling . staff kept saying “ ’ get compensation. ” waiting see get compensated promised ground staff ! legally eu law , let ’ see put fight ethical legal .",0.044346590909090905,positive
"excellent flight 777 cpt lhr return good . ba moved business class checkin one end hall t5 apparent reason nice long walk check . fast track security slow ( 15 minute ) . indicator board suggested south lounge `` half full '' went uncomfortably full still tatty refurbished , went b pier lounge instead . much better except usual staff sort trying pack early bizarre way refilling food container involves actually removing kitchen ( mean gone lot time ) rather replenishing customer side . employee-centric behaviour . time flight transit take u c gate . except transit decided stop b gate watched five maybe seven transit pas without stopping . eventually group maybe 15 passenger mixed age decided descend walkway run way c gate . arrived soaked sweat - nice start long business class flight . a380 spacious seat outdated urgent need replacement . ife working rebooted . headphone prong bent headphone working . usb port working . drink brought promptly . starter ( salmon ) delicious - truly excellent . beef tough ... think bad piece meat rather badly cooked . wine good . cheese average good . staff friendly . good night 's sleep . breakfast good . recheck experience jnb huge hassle - giant screen saying `` domestic recheck '' queue get front queue told safair saa , ba 's local partner . hassle . n't warned told ... load ba passenger making mistake . overall 5/10 . 's little thing would make better : fast track actually fast track . refurbish south lounge . food replenishment passenger area , kitchen ; make sure transit stop , even late evening ; refurbish a380s ; ask & co ( generally excellent way ) monitor meat quality rigorously .",0.2062661498708011,positive
"recent flight cyprus ba621 23/11/24 , second cabin door closed pilot announced would held runway 2 hour . know prior inform passenger boarded . flight home took nearly 6 hour due weather condition , plus 2 hour waiting . ba offer 8 hour hell flight , 3 oatmeal biscuit 250ml water family . went cabin crew ask water , told ’ 3 4 cabin crew asleep back row seat aircraft ba621 23/11/24 . infuriated previously asked spare seat 2 year old could spread get sleep available . told flight full . arrived late connecting flight missed . queued connection desk large queue watch ba staff clock night front u . genuine support given , family effectively abandoned ba . ’ tried speak someone , helpline automated message saying due number call ( surprised aspect ) cant assist , hang . tried several time various time . think ’ default message . raised via email system . unsurprisingly mugged ’ escalate 8 week passed . like said national disgrace .",0.0761904761904762,positive
"flight ba 0560 arrived rome 11 december passenger received sm ba say luggage left london . wife completed required form queue 2 hour checked . ba ’ agent rome believe baggage would arrive last flight night ( 10pm ) would likely delivered next day . nobody ba rome airport made contact u explain happened bag would arrive . finally got luggage delivered u 4pm sunday 15 december - day due leave rome . waiting period contact initiated either ba rome agent several occasion called rome london help desk , received update . 34 year travelling together never happened sheer neglect keeping u informed disgusting . sadly ba , never fly share horror story others strongly encourage fly another airline . would give ba overall rating zero .",-0.022435897435897426,negative
